# This file was generated by the deal.II library.
# Date =  2016/6/12
# Time =  11:46:03
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <y> <velocity> <velocity> <pressure> 
4166.67 4166.67 -0.0778056 0.1557 1.57242e+08 
0 4166.67 0 0.155686 1.57256e+08 

4166.67 0 -0.0778298 0 1.57257e+08 
0 0 0 0 1.57271e+08 


4166.67 8333.33 -0.0777328 0.311303 1.57195e+08 
0 8333.33 0 0.311275 1.57209e+08 

4166.67 4166.67 -0.0778056 0.1557 1.57242e+08 
0 4166.67 0 0.155686 1.57256e+08 


4166.67 12500 -0.0776116 0.466713 1.57117e+08 
0 12500 0 0.466671 1.57131e+08 

4166.67 8333.33 -0.0777328 0.311303 1.57195e+08 
0 8333.33 0 0.311275 1.57209e+08 


4166.67 16666.7 -0.0774424 0.621831 1.57007e+08 
0 16666.7 0 0.621776 1.57021e+08 

4166.67 12500 -0.0776116 0.466713 1.57117e+08 
0 12500 0 0.466671 1.57131e+08 


4166.67 20833.3 -0.0772253 0.776563 1.56867e+08 
0 20833.3 0 0.776494 1.56881e+08 

4166.67 16666.7 -0.0774424 0.621831 1.57007e+08 
0 16666.7 0 0.621776 1.57021e+08 


4166.67 25000 -0.0769608 0.930814 1.56695e+08 
0 25000 0 0.930731 1.56709e+08 

4166.67 20833.3 -0.0772253 0.776563 1.56867e+08 
0 20833.3 0 0.776494 1.56881e+08 


4166.67 29166.7 -0.0766494 1.08449 1.56492e+08 
0 29166.7 0 1.08439 1.56506e+08 

4166.67 25000 -0.0769608 0.930814 1.56695e+08 
0 25000 0 0.930731 1.56709e+08 


4166.67 33333.3 -0.0762918 1.23749 1.56257e+08 
0 33333.3 0 1.23738 1.56271e+08 

4166.67 29166.7 -0.0766494 1.08449 1.56492e+08 
0 29166.7 0 1.08439 1.56506e+08 


4166.67 37500 -0.0758885 1.38974 1.55992e+08 
0 37500 0 1.38962 1.56006e+08 

4166.67 33333.3 -0.0762918 1.23749 1.56257e+08 
0 33333.3 0 1.23738 1.56271e+08 


4166.67 41666.7 -0.0754404 1.54113 1.55695e+08 
0 41666.7 0 1.54099 1.55709e+08 

4166.67 37500 -0.0758885 1.38974 1.55992e+08 
0 37500 0 1.38962 1.56006e+08 


4166.67 45833.3 -0.0749484 1.69158 1.55367e+08 
0 45833.3 0 1.69143 1.55381e+08 

4166.67 41666.7 -0.0754404 1.54113 1.55695e+08 
0 41666.7 0 1.54099 1.55709e+08 


4166.67 50000 -0.0744134 1.84101 1.55008e+08 
0 50000 0 1.84085 1.55022e+08 

4166.67 45833.3 -0.0749484 1.69158 1.55367e+08 
0 45833.3 0 1.69143 1.55381e+08 


4166.67 54166.7 -0.0738365 1.98932 1.54617e+08 
0 54166.7 0 1.98915 1.54631e+08 

4166.67 50000 -0.0744134 1.84101 1.55008e+08 
0 50000 0 1.84085 1.55022e+08 


4166.67 58333.3 -0.0732189 2.13644 1.54195e+08 
0 58333.3 0 2.13625 1.54209e+08 

4166.67 54166.7 -0.0738365 1.98932 1.54617e+08 
0 54166.7 0 1.98915 1.54631e+08 


4166.67 62500 -0.0725618 2.28228 1.53742e+08 
0 62500 0 2.28208 1.53756e+08 

4166.67 58333.3 -0.0732189 2.13644 1.54195e+08 
0 58333.3 0 2.13625 1.54209e+08 


4166.67 66666.7 -0.0718667 2.42677 1.53258e+08 
0 66666.7 0 2.42656 1.53272e+08 

4166.67 62500 -0.0725618 2.28228 1.53742e+08 
0 62500 0 2.28208 1.53756e+08 


4166.67 70833.3 -0.0711349 2.56983 1.52742e+08 
0 70833.3 0 2.56962 1.52757e+08 

4166.67 66666.7 -0.0718667 2.42677 1.53258e+08 
0 66666.7 0 2.42656 1.53272e+08 


4166.67 75000 -0.0703681 2.7114 1.52196e+08 
0 75000 0 2.71117 1.5221e+08 

4166.67 70833.3 -0.0711349 2.56983 1.52742e+08 
0 70833.3 0 2.56962 1.52757e+08 


4166.67 79166.7 -0.0695679 2.85139 1.51618e+08 
0 79166.7 0 2.85116 1.51632e+08 

4166.67 75000 -0.0703681 2.7114 1.52196e+08 
0 75000 0 2.71117 1.5221e+08 


4166.67 83333.3 -0.0687361 2.98975 1.51009e+08 
0 83333.3 0 2.98951 1.51023e+08 

4166.67 79166.7 -0.0695679 2.85139 1.51618e+08 
0 79166.7 0 2.85116 1.51632e+08 


4166.67 87500 -0.0678745 3.12642 1.50369e+08 
0 87500 0 3.12617 1.50383e+08 

4166.67 83333.3 -0.0687361 2.98975 1.51009e+08 
0 83333.3 0 2.98951 1.51023e+08 


4166.67 91666.7 -0.0669852 3.26134 1.49697e+08 
0 91666.7 0 3.26108 1.49711e+08 

4166.67 87500 -0.0678745 3.12642 1.50369e+08 
0 87500 0 3.12617 1.50383e+08 


4166.67 95833.3 -0.0660702 3.39445 1.48994e+08 
0 95833.3 0 3.39419 1.49008e+08 

4166.67 91666.7 -0.0669852 3.26134 1.49697e+08 
0 91666.7 0 3.26108 1.49711e+08 


4166.67 100000 -0.0651317 3.52571 1.4826e+08 
0 100000 0 3.52544 1.48274e+08 

4166.67 95833.3 -0.0660702 3.39445 1.48994e+08 
0 95833.3 0 3.39419 1.49008e+08 


4166.67 104167 -0.0641721 3.65507 1.47495e+08 
0 104167 0 3.6548 1.47509e+08 

4166.67 100000 -0.0651317 3.52571 1.4826e+08 
0 100000 0 3.52544 1.48274e+08 


4166.67 108333 -0.0631938 3.78249 1.46699e+08 
0 108333 0 3.78221 1.46713e+08 

4166.67 104167 -0.0641721 3.65507 1.47495e+08 
0 104167 0 3.6548 1.47509e+08 


4166.67 112500 -0.0621992 3.90794 1.45871e+08 
0 112500 0 3.90766 1.45886e+08 

4166.67 108333 -0.0631938 3.78249 1.46699e+08 
0 108333 0 3.78221 1.46713e+08 


4166.67 116667 -0.0611911 4.03138 1.45013e+08 
0 116667 0 4.0311 1.45027e+08 

4166.67 112500 -0.0621992 3.90794 1.45871e+08 
0 112500 0 3.90766 1.45886e+08 


4166.67 120833 -0.0601723 4.1528 1.44123e+08 
0 120833 0 4.15251 1.44137e+08 

4166.67 116667 -0.0611911 4.03138 1.45013e+08 
0 116667 0 4.0311 1.45027e+08 


4166.67 125000 -0.0591456 4.27217 1.43202e+08 
0 125000 0 4.27188 1.43216e+08 

4166.67 120833 -0.0601723 4.1528 1.44123e+08 
0 120833 0 4.15251 1.44137e+08 


4166.67 129167 -0.0581141 4.38948 1.4225e+08 
0 129167 0 4.38919 1.42264e+08 

4166.67 125000 -0.0591456 4.27217 1.43202e+08 
0 125000 0 4.27188 1.43216e+08 


4166.67 133333 -0.0570809 4.50472 1.41266e+08 
0 133333 0 4.50444 1.41281e+08 

4166.67 129167 -0.0581141 4.38948 1.4225e+08 
0 129167 0 4.38919 1.42264e+08 


4166.67 137500 -0.0560492 4.61789 1.40252e+08 
0 137500 0 4.61762 1.40266e+08 

4166.67 133333 -0.0570809 4.50472 1.41266e+08 
0 133333 0 4.50444 1.41281e+08 


4166.67 141667 -0.0550225 4.72902 1.39206e+08 
0 141667 0 4.72875 1.3922e+08 

4166.67 137500 -0.0560492 4.61789 1.40252e+08 
0 137500 0 4.61762 1.40266e+08 


4166.67 145833 -0.0540044 4.83806 1.38129e+08 
0 145833 0 4.8378 1.38143e+08 

4166.67 141667 -0.0550225 4.72902 1.39206e+08 
0 141667 0 4.72875 1.3922e+08 


4166.67 150000 -0.0529982 4.94521 1.37023e+08 
0 150000 0 4.94495 1.37037e+08 

4166.67 145833 -0.0540044 4.83806 1.38129e+08 
0 145833 0 4.8378 1.38143e+08 


8333.33 4166.67 -0.155674 0.155742 1.57202e+08 
4166.67 4166.67 -0.0778056 0.1557 1.57242e+08 

8333.33 0 -0.155722 0 1.57218e+08 
4166.67 0 -0.0778298 0 1.57257e+08 


8333.33 8333.33 -0.155528 0.311387 1.57156e+08 
4166.67 8333.33 -0.0777328 0.311303 1.57195e+08 

8333.33 4166.67 -0.155674 0.155742 1.57202e+08 
4166.67 4166.67 -0.0778056 0.1557 1.57242e+08 


8333.33 12500 -0.155286 0.466838 1.57077e+08 
4166.67 12500 -0.0776116 0.466713 1.57117e+08 

8333.33 8333.33 -0.155528 0.311387 1.57156e+08 
4166.67 8333.33 -0.0777328 0.311303 1.57195e+08 


8333.33 16666.7 -0.154947 0.621998 1.56968e+08 
4166.67 16666.7 -0.0774424 0.621831 1.57007e+08 

8333.33 12500 -0.155286 0.466838 1.57077e+08 
4166.67 12500 -0.0776116 0.466713 1.57117e+08 


8333.33 20833.3 -0.154513 0.776772 1.56827e+08 
4166.67 20833.3 -0.0772253 0.776563 1.56867e+08 

8333.33 16666.7 -0.154947 0.621998 1.56968e+08 
4166.67 16666.7 -0.0774424 0.621831 1.57007e+08 


8333.33 25000 -0.153984 0.931063 1.56656e+08 
4166.67 25000 -0.0769608 0.930814 1.56695e+08 

8333.33 20833.3 -0.154513 0.776772 1.56827e+08 
4166.67 20833.3 -0.0772253 0.776563 1.56867e+08 


8333.33 29166.7 -0.153361 1.08478 1.56452e+08 
4166.67 29166.7 -0.0766494 1.08449 1.56492e+08 

