# This file was generated by the deal.II library.
# Date =  2016/6/12
# Time =  11:47:05
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <y> <velocity> <velocity> <pressure> 
4166.59 4166.82 -2.50902e-15 5.11896e-15 1.56937e+08 
0 4166.82 0 5.1187e-15 1.56951e+08 

4166.59 0 -2.50974e-15 0 1.56953e+08 
0 0 0 0 1.56967e+08 


4166.59 8333.64 -2.50682e-15 1.0235e-14 1.5689e+08 
0 8333.64 0 1.02345e-14 1.56904e+08 

4166.59 4166.82 -2.50902e-15 5.11896e-15 1.56937e+08 
0 4166.82 0 5.1187e-15 1.56951e+08 


4166.59 12500.5 -2.50316e-15 1.53452e-14 1.56813e+08 
0 12500.5 0 1.53444e-14 1.56827e+08 

4166.59 8333.64 -2.50682e-15 1.0235e-14 1.5689e+08 
0 8333.64 0 1.02345e-14 1.56904e+08 


4166.59 16667.3 -2.49804e-15 2.04466e-14 1.56704e+08 
0 16667.3 0 2.04455e-14 1.56718e+08 

4166.59 12500.5 -2.50316e-15 1.53452e-14 1.56813e+08 
0 12500.5 0 1.53444e-14 1.56827e+08 


4166.59 20834.1 -2.49144e-15 2.55363e-14 1.56563e+08 
0 20834.1 0 2.55349e-14 1.56577e+08 

4166.59 16667.3 -2.49804e-15 2.04466e-14 1.56704e+08 
0 16667.3 0 2.04455e-14 1.56718e+08 


4166.59 25000.9 -2.4834e-15 3.06113e-14 1.56392e+08 
0 25000.9 0 3.06097e-14 1.56406e+08 

4166.59 20834.1 -2.49144e-15 2.55363e-14 1.56563e+08 
0 20834.1 0 2.55349e-14 1.56577e+08 


4166.59 29167.8 -2.47387e-15 3.56688e-14 1.5619e+08 
0 29167.8 0 3.56669e-14 1.56204e+08 

4166.59 25000.9 -2.4834e-15 3.06113e-14 1.56392e+08 
0 25000.9 0 3.06097e-14 1.56406e+08 


4166.59 33334.6 -2.46289e-15 4.07057e-14 1.55956e+08 
0 33334.6 0 4.07036e-14 1.5597e+08 

4166.59 29167.8 -2.47387e-15 3.56688e-14 1.5619e+08 
0 29167.8 0 3.56669e-14 1.56204e+08 


4166.59 37501.4 -2.45043e-15 4.57193e-14 1.55692e+08 
0 37501.4 0 4.57168e-14 1.55706e+08 

4166.59 33334.6 -2.46289e-15 4.07057e-14 1.55956e+08 
0 33334.6 0 4.07036e-14 1.5597e+08 


4166.59 41668.2 -2.43651e-15 5.07064e-14 1.55396e+08 
0 41668.2 0 5.07037e-14 1.5541e+08 

4166.59 37501.4 -2.45043e-15 4.57193e-14 1.55692e+08 
0 37501.4 0 4.57168e-14 1.55706e+08 


4166.59 45835 -2.42112e-15 5.56642e-14 1.55069e+08 
0 45835 0 5.56613e-14 1.55083e+08 

4166.59 41668.2 -2.43651e-15 5.07064e-14 1.55396e+08 
0 41668.2 0 5.07037e-14 1.5541e+08 


4166.59 50001.8 -2.40426e-15 6.05898e-14 1.54711e+08 
0 50001.8 0 6.05866e-14 1.54725e+08 

4166.59 45835 -2.42112e-15 5.56642e-14 1.55069e+08 
0 45835 0 5.56613e-14 1.55083e+08 


4166.59 54168.7 -2.38592e-15 6.54802e-14 1.54322e+08 
0 54168.7 0 6.54767e-14 1.54336e+08 

4166.59 50001.8 -2.40426e-15 6.05898e-14 1.54711e+08 
0 50001.8 0 6.05866e-14 1.54725e+08 


4166.59 58335.5 -2.36612e-15 7.03324e-14 1.53901e+08 
0 58335.5 0 7.03286e-14 1.53915e+08 

4166.59 54168.7 -2.38592e-15 6.54802e-14 1.54322e+08 
0 54168.7 0 6.54767e-14 1.54336e+08 


4166.59 62502.3 -2.34484e-15 7.51436e-14 1.5345e+08 
0 62502.3 0 7.51395e-14 1.53464e+08 

4166.59 58335.5 -2.36612e-15 7.03324e-14 1.53901e+08 
0 58335.5 0 7.03286e-14 1.53915e+08 


4166.6 66669.1 -2.32209e-15 7.99107e-14 1.52967e+08 
0 66669.1 0 7.99063e-14 1.52981e+08 

4166.59 62502.3 -2.34484e-15 7.51436e-14 1.5345e+08 
0 62502.3 0 7.51395e-14 1.53464e+08 


4166.6 70835.9 -2.29787e-15 8.46308e-14 1.52454e+08 
0 70835.9 0 8.46262e-14 1.52468e+08 

4166.6 66669.1 -2.32209e-15 7.99107e-14 1.52967e+08 
0 66669.1 0 7.99063e-14 1.52981e+08 


4166.6 75002.7 -2.27217e-15 8.93011e-14 1.51909e+08 
0 75002.7 0 8.92961e-14 1.51923e+08 

4166.6 70835.9 -2.29787e-15 8.46308e-14 1.52454e+08 
0 70835.9 0 8.46262e-14 1.52468e+08 


4166.6 79169.5 -2.245e-15 9.39185e-14 1.51333e+08 
0 79169.5 0 9.39132e-14 1.51347e+08 

4166.6 75002.7 -2.27217e-15 8.93011e-14 1.51909e+08 
0 75002.7 0 8.92961e-14 1.51923e+08 


4166.6 83336.3 -2.21637e-15 9.848e-14 1.50726e+08 
0 83336.3 0 9.84745e-14 1.5074e+08 

4166.6 79169.5 -2.245e-15 9.39185e-14 1.51333e+08 
0 79169.5 0 9.39132e-14 1.51347e+08 


4166.6 87503.1 -2.18626e-15 1.02983e-13 1.50087e+08 
0 87503.1 0 1.02977e-13 1.50101e+08 

4166.6 83336.3 -2.21637e-15 9.848e-14 1.50726e+08 
0 83336.3 0 9.84745e-14 1.5074e+08 


4166.6 91669.9 -2.15468e-15 1.07424e-13 1.49418e+08 
0 91669.9 0 1.07418e-13 1.49432e+08 

4166.6 87503.1 -2.18626e-15 1.02983e-13 1.50087e+08 
0 87503.1 0 1.02977e-13 1.50101e+08 


4166.6 95836.7 -2.12164e-15 1.118e-13 1.48717e+08 
0 95836.7 0 1.11794e-13 1.48731e+08 

4166.6 91669.9 -2.15468e-15 1.07424e-13 1.49418e+08 
0 91669.9 0 1.07418e-13 1.49432e+08 


4166.6 100004 -2.08714e-15 1.16109e-13 1.47986e+08 
0 100004 0 1.16103e-13 1.48e+08 

4166.6 95836.7 -2.12164e-15 1.118e-13 1.48717e+08 
0 95836.7 0 1.11794e-13 1.48731e+08 


4166.6 104170 -2.05118e-15 1.20348e-13 1.47223e+08 
0 104170 0 1.20341e-13 1.47237e+08 

4166.6 100004 -2.08714e-15 1.16109e-13 1.47986e+08 
0 100004 0 1.16103e-13 1.48e+08 


4166.6 108337 -2.01377e-15 1.24513e-13 1.46429e+08 
0 108337 0 1.24506e-13 1.46443e+08 

4166.6 104170 -2.05118e-15 1.20348e-13 1.47223e+08 
0 104170 0 1.20341e-13 1.47237e+08 


4166.6 112504 -1.97491e-15 1.28602e-13 1.45604e+08 
0 112504 0 1.28594e-13 1.45618e+08 

4166.6 108337 -2.01377e-15 1.24513e-13 1.46429e+08 
0 108337 0 1.24506e-13 1.46443e+08 


4166.61 116671 -1.93461e-15 1.32612e-13 1.44748e+08 
0 116671 0 1.32604e-13 1.44762e+08 

4166.6 112504 -1.97491e-15 1.28602e-13 1.45604e+08 
0 112504 0 1.28594e-13 1.45618e+08 


4166.61 120837 -1.89289e-15 1.36539e-13 1.4386e+08 
0 120837 0 1.36531e-13 1.43874e+08 

4166.61 116671 -1.93461e-15 1.32612e-13 1.44748e+08 
0 116671 0 1.32604e-13 1.44762e+08 


4166.61 125004 -1.84975e-15 1.40382e-13 1.42942e+08 
0 125004 0 1.40373e-13 1.42956e+08 

4166.61 120837 -1.89289e-15 1.36539e-13 1.4386e+08 
0 120837 0 1.36531e-13 1.43874e+08 


4166.61 129171 -1.8052e-15 1.44137e-13 1.41992e+08 
0 129171 0 1.44128e-13 1.42006e+08 

4166.61 125004 -1.84975e-15 1.40382e-13 1.42942e+08 
0 125004 0 1.40373e-13 1.42956e+08 


4166.61 133338 -1.75925e-15 1.47803e-13 1.41011e+08 
0 133338 0 1.47793e-13 1.41025e+08 

4166.61 129171 -1.8052e-15 1.44137e-13 1.41992e+08 
0 129171 0 1.44128e-13 1.42006e+08 


4166.61 137505 -1.71191e-15 1.5137e-13 1.39999e+08 
0 137505 0 1.5136e-13 1.40014e+08 

4166.61 133338 -1.75925e-15 1.47803e-13 1.41011e+08 
0 133338 0 1.47793e-13 1.41025e+08 


4166.61 141671 -1.66318e-15 1.5486e-13 1.38957e+08 
0 141671 0 1.54849e-13 1.38971e+08 

4166.61 137505 -1.71191e-15 1.5137e-13 1.39999e+08 
0 137505 0 1.5136e-13 1.40014e+08 


4166.61 145838 -1.61302e-15 1.58183e-13 1.37882e+08 
0 145838 0 1.58172e-13 1.37896e+08 

4166.61 141671 -1.66318e-15 1.5486e-13 1.38957e+08 
0 141671 0 1.54849e-13 1.38971e+08 


4166.61 150005 -1.56104e-15 1.61654e-13 1.36779e+08 
0 150005 0 1.61641e-13 1.36793e+08 

4166.61 145838 -1.61302e-15 1.58183e-13 1.37882e+08 
0 145838 0 1.58172e-13 1.37896e+08 


8333.18 4166.82 -5.10192e-15 5.11975e-15 1.56898e+08 
4166.59 4166.82 -2.50902e-15 5.11896e-15 1.56937e+08 

8333.18 0 -5.10338e-15 0 1.56913e+08 
4166.59 0 -2.50974e-15 0 1.56953e+08 


8333.18 8333.64 -5.09752e-15 1.02366e-14 1.56851e+08 
4166.59 8333.64 -2.50682e-15 1.0235e-14 1.5689e+08 

8333.18 4166.82 -5.10192e-15 5.11975e-15 1.56898e+08 
4166.59 4166.82 -2.50902e-15 5.11896e-15 1.56937e+08 


8333.18 12500.5 -5.09021e-15 1.53475e-14 1.56773e+08 
4166.59 12500.5 -2.50316e-15 1.53452e-14 1.56813e+08 

8333.18 8333.64 -5.09752e-15 1.02366e-14 1.56851e+08 
4166.59 8333.64 -2.50682e-15 1.0235e-14 1.5689e+08 


8333.18 16667.3 -5.07996e-15 2.04497e-14 1.56664e+08 
4166.59 16667.3 -2.49804e-15 2.04466e-14 1.56704e+08 

8333.18 12500.5 -5.09021e-15 1.53475e-14 1.56773e+08 
4166.59 12500.5 -2.50316e-15 1.53452e-14 1.56813e+08 


8333.18 20834.1 -5.06679e-15 2.55402e-14 1.56524e+08 
4166.59 20834.1 -2.49144e-15 2.55363e-14 1.56563e+08 

8333.18 16667.3 -5.07996e-15 2.04497e-14 1.56664e+08 
