# This file was generated by the deal.II library.
# Date =  2015/8/18
# Time =  20:18: 7
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <y> <velocity> <velocity> <pressure> 
0 0 0 0 1.6968e+08 
4343.71 0 -0.0538835 0 1.69664e+08 

2.61384e-13 4268.72 0 0.105909 1.69663e+08 
4229.96 4229.96 -0.0524613 0.104946 1.69648e+08 


4343.71 0 -0.0538835 0 1.69664e+08 
8687.41 0 -0.107773 0 1.69616e+08 

4229.96 4229.96 -0.0524613 0.104946 1.69648e+08 
8645.59 4322.8 -0.107231 0.107245 1.696e+08 


2.61384e-13 4268.72 0 0.105909 1.69663e+08 
4229.96 4229.96 -0.0524613 0.104946 1.69648e+08 

5.22767e-13 8537.43 0 0.211775 1.69614e+08 
4202.71 8405.41 -0.0520937 0.208501 1.696e+08 


4229.96 4229.96 -0.0524613 0.104946 1.69648e+08 
8645.59 4322.8 -0.107231 0.107245 1.696e+08 

4202.71 8405.41 -0.0520937 0.208501 1.696e+08 
8459.91 8459.91 -0.104867 0.209845 1.69554e+08 


8687.41 0 -0.107773 0 1.69616e+08 
13031.1 0 -0.161655 0 1.69537e+08 

8645.59 4322.8 -0.107231 0.107245 1.696e+08 
13116.3 4372.11 -0.162678 0.108462 1.69517e+08 


13031.1 0 -0.161655 0 1.69537e+08 
17374.9 0 -0.215533 0 1.69425e+08 

13116.3 4372.11 -0.162678 0.108462 1.69517e+08 
17513.9 4378.47 -0.217212 0.108611 1.69404e+08 


8645.59 4322.8 -0.107231 0.107245 1.696e+08 
13116.3 4372.11 -0.162678 0.108462 1.69517e+08 

8459.91 8459.91 -0.104867 0.209845 1.69554e+08 
12867.1 8578.04 -0.159491 0.21276 1.69473e+08 


13116.3 4372.11 -0.162678 0.108462 1.69517e+08 
17513.9 4378.47 -0.217212 0.108611 1.69404e+08 

12867.1 8578.04 -0.159491 0.21276 1.69473e+08 
17291.2 8645.59 -0.214319 0.214417 1.69359e+08 


5.22767e-13 8537.43 0 0.211775 1.69614e+08 
4202.71 8405.41 -0.0520937 0.208501 1.696e+08 

7.8415e-13 12806.1 0 0.317556 1.6953e+08 
4235.93 12707.8 -0.0524532 0.315116 1.69516e+08 


4202.71 8405.41 -0.0520937 0.208501 1.696e+08 
8459.91 8459.91 -0.104867 0.209845 1.69554e+08 

4235.93 12707.8 -0.0524532 0.315116 1.69516e+08 
8437.96 12656.9 -0.104493 0.313847 1.69473e+08 


7.8415e-13 12806.1 0 0.317556 1.6953e+08 
4235.93 12707.8 -0.0524532 0.315116 1.69516e+08 

1.04554e-12 17074.9 0 0.423211 1.69414e+08 
4249.88 16999.6 -0.0525522 0.421342 1.69399e+08 


4235.93 12707.8 -0.0524532 0.315116 1.69516e+08 
8437.96 12656.9 -0.104493 0.313847 1.69473e+08 

4249.88 16999.6 -0.0525522 0.421342 1.69399e+08 
8405.41 16810.9 -0.10395 0.416664 1.69361e+08 


8459.91 8459.91 -0.104867 0.209845 1.69554e+08 
12867.1 8578.04 -0.159491 0.21276 1.69473e+08 

8437.96 12656.9 -0.104493 0.313847 1.69473e+08 
12689.9 12689.9 -0.157143 0.314646 1.69396e+08 


12867.1 8578.04 -0.159491 0.21276 1.69473e+08 
17291.2 8645.59 -0.214319 0.214417 1.69359e+08 

12689.9 12689.9 -0.157143 0.314646 1.69396e+08 
17055.9 12791.9 -0.211195 0.317147 1.69284e+08 


8437.96 12656.9 -0.104493 0.313847 1.69473e+08 
12689.9 12689.9 -0.157143 0.314646 1.69396e+08 

8405.41 16810.9 -0.10395 0.416664 1.69361e+08 
12625.4 16833.8 -0.156133 0.41721 1.69286e+08 


12689.9 12689.9 -0.157143 0.314646 1.69396e+08 
17055.9 12791.9 -0.211195 0.317147 1.69284e+08 

12625.4 16833.8 -0.156133 0.41721 1.69286e+08 
16919.9 16919.9 -0.209229 0.419304 1.69176e+08 


17374.9 0 -0.215533 0 1.69425e+08 
21718.6 0 -0.269402 0 1.69282e+08 

17513.9 4378.47 -0.217212 0.108611 1.69404e+08 
21909.2 4381.84 -0.271709 0.108683 1.69257e+08 


21718.6 0 -0.269402 0 1.69282e+08 
26062.3 0 -0.323262 0 1.69107e+08 

21909.2 4381.84 -0.271709 0.108683 1.69257e+08 
26307.7 4384.61 -0.326236 0.108737 1.69079e+08 


17513.9 4378.47 -0.217212 0.108611 1.69404e+08 
21909.2 4381.84 -0.271709 0.108683 1.69257e+08 

17291.2 8645.59 -0.214319 0.214417 1.69359e+08 
21739.4 8695.76 -0.269437 0.215637 1.69212e+08 


21909.2 4381.84 -0.271709 0.108683 1.69257e+08 
26307.7 4384.61 -0.326236 0.108737 1.69079e+08 

21739.4 8695.76 -0.269437 0.215637 1.69212e+08 
26232.7 8744.21 -0.325101 0.216808 1.6903e+08 


26062.3 0 -0.323262 0 1.69107e+08 
30406 0 -0.37711 0 1.689e+08 

26307.7 4384.61 -0.326236 0.108737 1.69079e+08 
30638.8 4376.96 -0.379915 0.10853 1.68871e+08 


30406 0 -0.37711 0 1.689e+08 
34749.7 0 -0.430943 0 1.68661e+08 

30638.8 4376.96 -0.379915 0.10853 1.68871e+08 
34932.4 4366.56 -0.433118 0.108252 1.68633e+08 


26307.7 4384.61 -0.326236 0.108737 1.69079e+08 
30638.8 4376.96 -0.379915 0.10853 1.68871e+08 

26232.7 8744.21 -0.325101 0.216808 1.6903e+08 
30658.2 8759.47 -0.379916 0.217152 1.68817e+08 


30638.8 4376.96 -0.379915 0.10853 1.68871e+08 
34932.4 4366.56 -0.433118 0.108252 1.68633e+08 

30658.2 8759.47 -0.379916 0.217152 1.68817e+08 
35027.8 8756.94 -0.434025 0.217048 1.68575e+08 


17291.2 8645.59 -0.214319 0.214417 1.69359e+08 
21739.4 8695.76 -0.269437 0.215637 1.69212e+08 

17055.9 12791.9 -0.211195 0.317147 1.69284e+08 
21508.4 12905 -0.266308 0.319915 1.69137e+08 


21739.4 8695.76 -0.269437 0.215637 1.69212e+08 
26232.7 8744.21 -0.325101 0.216808 1.6903e+08 

21508.4 12905 -0.266308 0.319915 1.69137e+08 
