# This file was generated by the deal.II library.
# Date =  2015/8/18
# Time =  20:31: 0
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <y> <velocity> <velocity> <pressure> 
0 0 0 0 1.69423e+08 
4253.24 0 -3.519e-15 0 1.69405e+08 

2.61384e-13 4405.11 0 7.32745e-15 1.69406e+08 
4142.09 4365.01 -3.42484e-15 7.25766e-15 1.6939e+08 


4253.24 0 -3.519e-15 0 1.69405e+08 
8505.27 0 -7.06408e-15 0 1.69359e+08 

4142.09 4365.01 -3.42484e-15 7.25766e-15 1.6939e+08 
8464.52 4460.77 -7.03018e-15 7.40866e-15 1.69342e+08 


2.61384e-13 4405.11 0 7.32745e-15 1.69406e+08 
4142.09 4365.01 -3.42484e-15 7.25766e-15 1.6939e+08 

5.22767e-13 8810.01 0 1.46589e-14 1.69355e+08 
4115.33 8674.07 -3.40782e-15 1.44318e-14 1.69341e+08 


4142.09 4365.01 -3.42484e-15 7.25766e-15 1.6939e+08 
8464.52 4460.77 -7.03018e-15 7.40866e-15 1.69342e+08 

4115.33 8674.07 -3.40782e-15 1.44318e-14 1.69341e+08 
8282.95 8730.45 -6.88425e-15 1.45142e-14 1.69295e+08 


8505.27 0 -7.06408e-15 0 1.69359e+08 
12757.5 0 -1.05922e-14 0 1.6928e+08 

8464.52 4460.77 -7.03018e-15 7.40866e-15 1.69342e+08 
12840.9 4511.84 -1.06654e-14 7.48392e-15 1.6926e+08 


12757.5 0 -1.05922e-14 0 1.6928e+08 
17009.8 0 -1.41117e-14 0 1.6917e+08 

12840.9 4511.84 -1.06654e-14 7.48392e-15 1.6926e+08 
17146 4518.67 -1.42289e-14 7.48202e-15 1.69148e+08 


8464.52 4460.77 -7.03018e-15 7.40866e-15 1.69342e+08 
12840.9 4511.84 -1.06654e-14 7.48392e-15 1.6926e+08 

8282.95 8730.45 -6.88425e-15 1.45142e-14 1.69295e+08 
12597.2 8852.43 -1.04714e-14 1.46942e-14 1.69215e+08 


12840.9 4511.84 -1.06654e-14 7.48392e-15 1.6926e+08 
17146 4518.67 -1.42289e-14 7.48202e-15 1.69148e+08 

12597.2 8852.43 -1.04714e-14 1.46942e-14 1.69215e+08 
16928.3 8922.44 -1.40616e-14 1.47815e-14 1.69103e+08 


5.22767e-13 8810.01 0 1.46589e-14 1.69355e+08 
4115.33 8674.07 -3.40782e-15 1.44318e-14 1.69341e+08 

7.8415e-13 13214.8 0 2.19982e-14 1.69271e+08 
4147.88 13113.5 -3.44124e-15 2.1824e-14 1.69257e+08 


4115.33 8674.07 -3.40782e-15 1.44318e-14 1.69341e+08 
8282.95 8730.45 -6.88425e-15 1.45142e-14 1.69295e+08 

4147.88 13113.5 -3.44124e-15 2.1824e-14 1.69257e+08 
8261.55 13061.2 -6.87836e-15 2.17194e-14 1.69213e+08 


7.8415e-13 13214.8 0 2.19982e-14 1.69271e+08 
4147.88 13113.5 -3.44124e-15 2.1824e-14 1.69257e+08 

1.04554e-12 17619.5 0 2.93512e-14 1.69153e+08 
4161.62 17541.8 -3.46102e-15 2.9212e-14 1.69138e+08 


4147.88 13113.5 -3.44124e-15 2.1824e-14 1.69257e+08 
8261.55 13061.2 -6.87836e-15 2.17194e-14 1.69213e+08 

4161.62 17541.8 -3.46102e-15 2.9212e-14 1.69138e+08 
8229.89 17347.9 -6.86712e-15 2.88732e-14 1.69101e+08 


8282.95 8730.45 -6.88425e-15 1.45142e-14 1.69295e+08 
12597.2 8852.43 -1.04714e-14 1.46942e-14 1.69215e+08 

8261.55 13061.2 -6.87836e-15 2.17194e-14 1.69213e+08 
12424.1 13095.7 -1.03418e-14 2.17509e-14 1.69138e+08 


12597.2 8852.43 -1.04714e-14 1.46942e-14 1.69215e+08 
16928.3 8922.44 -1.40616e-14 1.47815e-14 1.69103e+08 

12424.1 13095.7 -1.03418e-14 2.17509e-14 1.69138e+08 
16698.4 13201.5 -1.38912e-14 2.18871e-14 1.69028e+08 


8261.55 13061.2 -6.87836e-15 2.17194e-14 1.69213e+08 
12424.1 13095.7 -1.03418e-14 2.17509e-14 1.69138e+08 

8229.89 17347.9 -6.86712e-15 2.88732e-14 1.69101e+08 
12361.4 17372 -1.03107e-14 2.88757e-14 1.69026e+08 


12424.1 13095.7 -1.03418e-14 2.17509e-14 1.69138e+08 
16698.4 13201.5 -1.38912e-14 2.18871e-14 1.69028e+08 

12361.4 17372 -1.03107e-14 2.88757e-14 1.69026e+08 
16565.7 17461.3 -1.38104e-14 2.89707e-14 1.68918e+08 


17009.8 0 -1.41117e-14 0 1.6917e+08 
21261.9 0 -1.76196e-14 0 1.69029e+08 

17146 4518.67 -1.42289e-14 7.48202e-15 1.69148e+08 
21448.7 4522.42 -1.7779e-14 7.47046e-15 1.69005e+08 


21261.9 0 -1.76196e-14 0 1.69029e+08 
25513.9 0 -2.11135e-14 0 1.68857e+08 

21448.7 4522.42 -1.7779e-14 7.47046e-15 1.69005e+08 
25754.2 4525.62 -2.13184e-14 7.4543e-15 1.68828e+08 


17146 4518.67 -1.42289e-14 7.48202e-15 1.69148e+08 
21448.7 4522.42 -1.7779e-14 7.47046e-15 1.69005e+08 

16928.3 8922.44 -1.40616e-14 1.47815e-14 1.69103e+08 
21282.8 8974.7 -1.76584e-14 1.48321e-14 1.68958e+08 


21448.7 4522.42 -1.7779e-14 7.47046e-15 1.69005e+08 
25754.2 4525.62 -2.13184e-14 7.4543e-15 1.68828e+08 

21282.8 8974.7 -1.76584e-14 1.48321e-14 1.68958e+08 
25681.2 9025.21 -2.12787e-14 1.48695e-14 1.68779e+08 


25513.9 0 -2.11135e-14 0 1.68857e+08 
29765.7 0 -2.45901e-14 0 1.68653e+08 

25754.2 4525.62 -2.13184e-14 7.4543e-15 1.68828e+08 
29993.7 4518.07 -2.47847e-14 7.41668e-15 1.68624e+08 


29765.7 0 -2.45901e-14 0 1.68653e+08 
34017.4 0 -2.8047e-14 0 1.68418e+08 

29993.7 4518.07 -2.47847e-14 7.41668e-15 1.68624e+08 
34196.5 4507.68 -2.82012e-14 7.37047e-15 1.6839e+08 


25754.2 4525.62 -2.13184e-14 7.4543e-15 1.68828e+08 
29993.7 4518.07 -2.47847e-14 7.41668e-15 1.68624e+08 

25681.2 9025.21 -2.12787e-14 1.48695e-14 1.68779e+08 
30013.2 9041.6 -2.4825e-14 1.48438e-14 1.68569e+08 


29993.7 4518.07 -2.47847e-14 7.41668e-15 1.68624e+08 
34196.5 4507.68 -2.82012e-14 7.37047e-15 1.6839e+08 

30013.2 9041.6 -2.4825e-14 1.48438e-14 1.68569e+08 
34290.4 9039.69 -2.83046e-14 1.4781e-14 1.68331e+08 


16928.3 8922.44 -1.40616e-14 1.47815e-14 1.69103e+08 
21282.8 8974.7 -1.76584e-14 1.48321e-14 1.68958e+08 

16698.4 13201.5 -1.38912e-14 2.18871e-14 1.69028e+08 
21057.2 13318.9 -1.75001e-14 2.2027e-14 1.68882e+08 


21282.8 8974.7 -1.76584e-14 1.48321e-14 1.68958e+08 
25681.2 9025.21 -2.12787e-14 1.48695e-14 1.68779e+08 

21057.2 13318.9 -1.75001e-14 2.2027e-14 1.68882e+08 
25392.2 13385.2 -2.10734e-14 2.20726e-14 1.68706e+08 


16698.4 13201.5 -1.38912e-14 2.18871e-14 1.69028e+08 
21057.2 13318.9 -1.75001e-14 2.2027e-14 1.68882e+08 

16565.7 17461.3 -1.38104e-14 2.89707e-14 1.68918e+08 
20811.4 17550.5 -1.73307e-14 2.90524e-14 1.68778e+08 


