# This file was generated by the deal.II library.
# Date =  2015/8/18
# Time =  20:37:17
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <y> <velocity> <velocity> <pressure> 
0 0 0 0 1.69374e+08 
4245.88 0 3.05866e-14 0 1.69357e+08 

2.61384e-13 4416.65 0 -6.35973e-14 1.69357e+08 
4135.06 4376.38 2.97879e-14 -6.30151e-14 1.69341e+08 


4245.88 0 3.05866e-14 0 1.69357e+08 
8489.24 0 6.11205e-14 0 1.6931e+08 

4135.06 4376.38 2.97879e-14 -6.30151e-14 1.69341e+08 
8448.66 4472.27 6.08227e-14 -6.43859e-14 1.69294e+08 


2.61384e-13 4416.65 0 -6.35973e-14 1.69357e+08 
4135.06 4376.38 2.97879e-14 -6.30151e-14 1.69341e+08 

5.22767e-13 8833.08 0 -1.27176e-13 1.69306e+08 
4108.24 8696.9 2.95817e-14 -1.25205e-13 1.69293e+08 


4135.06 4376.38 2.97879e-14 -6.30151e-14 1.69341e+08 
8448.66 4472.27 6.08227e-14 -6.43859e-14 1.69294e+08 

4108.24 8696.9 2.95817e-14 -1.25205e-13 1.69293e+08 
8267.47 8753.39 5.9498e-14 -1.25996e-13 1.69247e+08 


8489.24 0 6.11205e-14 0 1.6931e+08 
12733.3 0 9.16593e-14 0 1.69232e+08 

8448.66 4472.27 6.08227e-14 -6.43859e-14 1.69294e+08 
12816.6 4523.49 9.22451e-14 -6.51017e-14 1.69213e+08 


12733.3 0 9.16593e-14 0 1.69232e+08 
16977.5 0 1.22182e-13 0 1.69123e+08 

12816.6 4523.49 9.22451e-14 -6.51017e-14 1.69213e+08 
17113.4 4530.36 1.23142e-13 -6.51705e-14 1.69101e+08 


8448.66 4472.27 6.08227e-14 -6.43859e-14 1.69294e+08 
12816.6 4523.49 9.22451e-14 -6.51017e-14 1.69213e+08 

8267.47 8753.39 5.9498e-14 -1.25996e-13 1.69247e+08 
12573.4 8875.5 9.04626e-14 -1.27717e-13 1.69167e+08 


12816.6 4523.49 9.22451e-14 -6.51017e-14 1.69213e+08 
17113.4 4530.36 1.23142e-13 -6.51705e-14 1.69101e+08 

12573.4 8875.5 9.04626e-14 -1.27717e-13 1.69167e+08 
16896.1 8945.59 1.21533e-13 -1.2867e-13 1.69056e+08 


5.22767e-13 8833.08 0 -1.27176e-13 1.69306e+08 
4108.24 8696.9 2.95817e-14 -1.25205e-13 1.69293e+08 

7.8415e-13 13249.4 0 -1.90721e-13 1.69222e+08 
4140.67 13147.8 2.9795e-14 -1.89247e-13 1.69209e+08 


4108.24 8696.9 2.95817e-14 -1.25205e-13 1.69293e+08 
8267.47 8753.39 5.9498e-14 -1.25996e-13 1.69247e+08 

4140.67 13147.8 2.9795e-14 -1.89247e-13 1.69209e+08 
8246.01 13095.3 5.9305e-14 -1.88461e-13 1.69165e+08 


7.8415e-13 13249.4 0 -1.90721e-13 1.69222e+08 
4140.67 13147.8 2.9795e-14 -1.89247e-13 1.69209e+08 

1.04554e-12 17665.7 0 -2.54216e-13 1.69104e+08 
4154.32 17587.7 2.98655e-14 -2.53081e-13 1.6909e+08 


4140.67 13147.8 2.9795e-14 -1.89247e-13 1.69209e+08 
8246.01 13095.3 5.9305e-14 -1.88461e-13 1.69165e+08 

4154.32 17587.7 2.98655e-14 -2.53081e-13 1.6909e+08 
8214.32 17393.5 5.90254e-14 -2.50241e-13 1.69053e+08 


8267.47 8753.39 5.9498e-14 -1.25996e-13 1.69247e+08 
12573.4 8875.5 9.04626e-14 -1.27717e-13 1.69167e+08 

